incident_id,incident_date,severity_level,primary_root_cause,impacted_service,time_to_detect_mins,time_to_resolve_mins,customer_sla_breached,incident_commander,postmortem_document_url
INC-2026-06-0018,2026-006-21,"P1 - Major Degradation","BGP Route Flapping",Vector Engine API,3,232,NO,"Dmitri Garcia",https://wiki.helixforge.internal/postmortems/INC-2026-06-0018.md
INC-2026-06-0019,2026-005-10,"P0 - Critical Outage","Upstream Provider Outage",Search Reranker,6,180,YES (Credit Issued),"Beatriz Chen",https://wiki.helixforge.internal/postmortems/INC-2026-06-0019.md
INC-2026-06-0020,2026-004-28,"P2 - Minor Component Issue","Expired TLS Certificate",Vector Engine API,22,118,NO,"Dmitri Wong",https://wiki.helixforge.internal/postmortems/INC-2026-06-0020.md
INC-2026-06-0021,2026-003-20,"P0 - Critical Outage","Slurm GPU Out of Memory",Workday Single Sign-On,22,109,YES (Credit Issued),"Soren Hale",https://wiki.helixforge.internal/postmortems/INC-2026-06-0021.md
INC-2026-06-0022,2026-006-08,"P2 - Minor Component Issue","Corrupted Vector Index Partition",Search Reranker,19,75,NO,"Hannah Patel",https://wiki.helixforge.internal/postmortems/INC-2026-06-0022.md
INC-2026-06-0023,2026-004-05,"P0 - Critical Outage","Slurm GPU Out of Memory",Expensify Sync,12,217,YES (Credit Issued),"Soren Tanaka",https://wiki.helixforge.internal/postmortems/INC-2026-06-0023.md
INC-2026-06-0024,2026-006-04,"P1 - Major Degradation","BGP Route Flapping",Search Reranker,9,109,NO,"Marcus Moreau",https://wiki.helixforge.internal/postmortems/INC-2026-06-0024.md
INC-2026-06-0025,2026-003-28,"P2 - Minor Component Issue","Upstream Provider Outage",Search Reranker,10,89,NO,"Viktor Nguyen",https://wiki.helixforge.internal/postmortems/INC-2026-06-0025.md
INC-2026-06-0026,2026-006-08,"P2 - Minor Component Issue","Expired TLS Certificate",Vector Engine API,3,206,NO,"Priya Johnson",https://wiki.helixforge.internal/postmortems/INC-2026-06-0026.md
INC-2026-06-0027,2026-003-07,"P2 - Minor Component Issue","Upstream Provider Outage",Vector Engine API,10,199,NO,"Ananya Novak",https://wiki.helixforge.internal/postmortems/INC-2026-06-0027.md
INC-2026-06-0028,2026-005-26,"P2 - Minor Component Issue","Corrupted Vector Index Partition",Workday Single Sign-On,22,62,NO,"Zoe Voss",https://wiki.helixforge.internal/postmortems/INC-2026-06-0028.md
INC-2026-06-0029,2026-003-01,"P2 - Minor Component Issue","Expired TLS Certificate",Workday Single Sign-On,5,209,NO,"Lars Hale",https://wiki.helixforge.internal/postmortems/INC-2026-06-0029.md
INC-2026-06-0030,2026-005-19,"P2 - Minor Component Issue","Corrupted Vector Index Partition",Search Reranker,4,147,NO,"Mara Zhao",https://wiki.helixforge.internal/postmortems/INC-2026-06-0030.md
INC-2026-06-0031,2026-005-04,"P1 - Major Degradation","Corrupted Vector Index Partition",Vector Engine API,9,24,NO,"Mina Novak",https://wiki.helixforge.internal/postmortems/INC-2026-06-0031.md
INC-2026-06-0032,2026-006-18,"P1 - Major Degradation","Corrupted Vector Index Partition",Vector Engine API,23,66,NO,"Ananya Voss",https://wiki.helixforge.internal/postmortems/INC-2026-06-0032.md
INC-2026-06-0033,2026-003-02,"P0 - Critical Outage","Corrupted Vector Index Partition",Expensify Sync,12,86,YES (Credit Issued),"Viktor Nguyen",https://wiki.helixforge.internal/postmortems/INC-2026-06-0033.md
INC-2026-06-0034,2026-002-12,"P1 - Major Degradation","Database Connection Pool Exhaustion",Vector Engine API,6,109,NO,"Mina Mueller",https://wiki.helixforge.internal/postmortems/INC-2026-06-0034.md
INC-2026-06-0035,2026-001-05,"P1 - Major Degradation","Corrupted Vector Index Partition",Workday Single Sign-On,14,64,NO,"Olivia Moreau",https://wiki.helixforge.internal/postmortems/INC-2026-06-0035.md
INC-2026-06-0036,2026-005-12,"P1 - Major Degradation","Upstream Provider Outage",Expensify Sync,17,91,NO,"Chen Hale",https://wiki.helixforge.internal/postmortems/INC-2026-06-0036.md
INC-2026-06-0037,2026-005-02,"P2 - Minor Component Issue","Expired TLS Certificate",Workday Single Sign-On,5,139,NO,"Mina Kovacs",https://wiki.helixforge.internal/postmortems/INC-2026-06-0037.md
INC-2026-06-0038,2026-002-03,"P1 - Major Degradation","Corrupted Vector Index Partition",Vector Engine API,15,29,NO,"Kaito Thorne",https://wiki.helixforge.internal/postmortems/INC-2026-06-0038.md
INC-2026-06-0039,2026-004-27,"P0 - Critical Outage","Slurm GPU Out of Memory",Expensify Sync,16,42,NO,"Viktor Garcia",https://wiki.helixforge.internal/postmortems/INC-2026-06-0039.md
INC-2026-06-0040,2026-001-28,"P1 - Major Degradation","Slurm GPU Out of Memory",Vector Engine API,13,67,NO,"Yuki Johnson",https://wiki.helixforge.internal/postmortems/INC-2026-06-0040.md
INC-2026-06-0041,2026-003-12,"P2 - Minor Component Issue","Upstream Provider Outage",Search Reranker,21,222,NO,"Viktor Bhat",https://wiki.helixforge.internal/postmortems/INC-2026-06-0041.md
INC-2026-06-0042,2026-005-10,"P2 - Minor Component Issue","Slurm GPU Out of Memory",Expensify Sync,4,188,NO,"Liam Silva",https://wiki.helixforge.internal/postmortems/INC-2026-06-0042.md
INC-2026-06-0043,2026-002-24,"P1 - Major Degradation","Expired TLS Certificate",Vector Engine API,10,172,NO,"Soren Santos",https://wiki.helixforge.internal/postmortems/INC-2026-06-0043.md
INC-2026-06-0044,2026-004-05,"P0 - Critical Outage","Expired TLS Certificate",Search Reranker,19,226,YES (Credit Issued),"Ava Ivanov",https://wiki.helixforge.internal/postmortems/INC-2026-06-0044.md
INC-2026-06-0045,2026-002-20,"P1 - Major Degradation","Slurm GPU Out of Memory",Search Reranker,11,64,NO,"Beatriz Dubois",https://wiki.helixforge.internal/postmortems/INC-2026-06-0045.md
INC-2026-06-0046,2026-004-01,"P2 - Minor Component Issue","Corrupted Vector Index Partition",Expensify Sync,23,193,NO,"Liam Patel",https://wiki.helixforge.internal/postmortems/INC-2026-06-0046.md
INC-2026-06-0047,2026-004-09,"P1 - Major Degradation","BGP Route Flapping",Search Reranker,15,197,NO,"Liam Lin",https://wiki.helixforge.internal/postmortems/INC-2026-06-0047.md
INC-2026-06-0048,2026-003-07,"P1 - Major Degradation","Database Connection Pool Exhaustion",Expensify Sync,13,107,NO,"Raj Nair",https://wiki.helixforge.internal/postmortems/INC-2026-06-0048.md
INC-2026-06-0049,2026-005-07,"P0 - Critical Outage","Corrupted Vector Index Partition",Search Reranker,4,73,YES (Credit Issued),"Xavier Johnson",https://wiki.helixforge.internal/postmortems/INC-2026-06-0049.md
INC-2026-06-0050,2026-001-28,"P2 - Minor Component Issue","Slurm GPU Out of Memory",Expensify Sync,4,235,NO,"Mara Zhao",https://wiki.helixforge.internal/postmortems/INC-2026-06-0050.md
INC-2026-06-0051,2026-006-12,"P1 - Major Degradation","Database Connection Pool Exhaustion",Expensify Sync,6,143,NO,"Tariq Chen",https://wiki.helixforge.internal/postmortems/INC-2026-06-0051.md
INC-2026-06-0052,2026-003-13,"P2 - Minor Component Issue","Expired TLS Certificate",Vector Engine API,18,90,NO,"Mei-Ling Tanaka",https://wiki.helixforge.internal/postmortems/INC-2026-06-0052.md
INC-2026-06-0053,2026-002-23,"P0 - Critical Outage","Corrupted Vector Index Partition",Search Reranker,17,38,NO,"Noah Nguyen",https://wiki.helixforge.internal/postmortems/INC-2026-06-0053.md
INC-2026-06-0054,2026-002-07,"P1 - Major Degradation","BGP Route Flapping",Search Reranker,23,178,NO,"Lucas Santos",https://wiki.helixforge.internal/postmortems/INC-2026-06-0054.md
INC-2026-06-0055,2026-005-04,"P2 - Minor Component Issue","Database Connection Pool Exhaustion",Search Reranker,15,140,NO,"Olivia Ivanov",https://wiki.helixforge.internal/postmortems/INC-2026-06-0055.md
INC-2026-06-0056,2026-002-08,"P0 - Critical Outage","Corrupted Vector Index Partition",Search Reranker,16,134,YES (Credit Issued),"Yuki Ivanov",https://wiki.helixforge.internal/postmortems/INC-2026-06-0056.md
INC-2026-06-0057,2026-003-14,"P2 - Minor Component Issue","Slurm GPU Out of Memory",Vector Engine API,20,182,NO,"Chloe Lindqvist",https://wiki.helixforge.internal/postmortems/INC-2026-06-0057.md
INC-2026-06-0058,2026-004-18,"P1 - Major Degradation","Upstream Provider Outage",Workday Single Sign-On,11,169,NO,"Noah Zhao",https://wiki.helixforge.internal/postmortems/INC-2026-06-0058.md
INC-2026-06-0059,2026-003-09,"P2 - Minor Component Issue","Expired TLS Certificate",Search Reranker,4,71,NO,"Viktor Santos",https://wiki.helixforge.internal/postmortems/INC-2026-06-0059.md
INC-2026-06-0060,2026-003-21,"P1 - Major Degradation","Database Connection Pool Exhaustion",Workday Single Sign-On,15,149,NO,"Aisha Al-Mansoor",https://wiki.helixforge.internal/postmortems/INC-2026-06-0060.md
INC-2026-06-0061,2026-005-01,"P2 - Minor Component Issue","Slurm GPU Out of Memory",Search Reranker,14,186,NO,"Yuki Joshi",https://wiki.helixforge.internal/postmortems/INC-2026-06-0061.md
INC-2026-06-0062,2026-004-21,"P2 - Minor Component Issue","Database Connection Pool Exhaustion",Search Reranker,3,68,NO,"Marcus Nguyen",https://wiki.helixforge.internal/postmortems/INC-2026-06-0062.md
INC-2026-06-0063,2026-001-23,"P2 - Minor Component Issue","Database Connection Pool Exhaustion",Vector Engine API,17,135,NO,"Mara Garcia",https://wiki.helixforge.internal/postmortems/INC-2026-06-0063.md
INC-2026-06-0064,2026-002-10,"P0 - Critical Outage","Database Connection Pool Exhaustion",Search Reranker,8,71,YES (Credit Issued),"Sarah Kovacs",https://wiki.helixforge.internal/postmortems/INC-2026-06-0064.md
INC-2026-06-0065,2026-003-26,"P2 - Minor Component Issue","Upstream Provider Outage",Vector Engine API,18,24,NO,"Sarah Nguyen",https://wiki.helixforge.internal/postmortems/INC-2026-06-0065.md
INC-2026-06-0066,2026-004-09,"P2 - Minor Component Issue","BGP Route Flapping",Search Reranker,9,128,NO,"Sophia Takahashi",https://wiki.helixforge.internal/postmortems/INC-2026-06-0066.md
INC-2026-06-0067,2026-001-28,"P0 - Critical Outage","Expired TLS Certificate",Search Reranker,18,155,YES (Credit Issued),"Chen Lin",https://wiki.helixforge.internal/postmortems/INC-2026-06-0067.md
INC-2026-06-0068,2026-001-04,"P1 - Major Degradation","Slurm GPU Out of Memory",Search Reranker,20,143,NO,"Xavier Tanaka",https://wiki.helixforge.internal/postmortems/INC-2026-06-0068.md
INC-2026-06-0069,2026-001-12,"P1 - Major Degradation","Database Connection Pool Exhaustion",Expensify Sync,4,240,NO,"Zoe Zhao",https://wiki.helixforge.internal/postmortems/INC-2026-06-0069.md
INC-2026-06-0070,2026-001-01,"P2 - Minor Component Issue","Corrupted Vector Index Partition",Workday Single Sign-On,2,148,NO,"Viktor Novak",https://wiki.helixforge.internal/postmortems/INC-2026-06-0070.md
INC-2026-06-0071,2026-002-08,"P2 - Minor Component Issue","Corrupted Vector Index Partition",Expensify Sync,3,94,NO,"Hannah Hale",https://wiki.helixforge.internal/postmortems/INC-2026-06-0071.md
INC-2026-06-0072,2026-002-14,"P2 - Minor Component Issue","Database Connection Pool Exhaustion",Search Reranker,11,240,NO,"Matteo Takahashi",https://wiki.helixforge.internal/postmortems/INC-2026-06-0072.md
INC-2026-06-0073,2026-006-20,"P0 - Critical Outage","Database Connection Pool Exhaustion",Expensify Sync,5,183,YES (Credit Issued),"Ananya Al-Mansoor",https://wiki.helixforge.internal/postmortems/INC-2026-06-0073.md
INC-2026-06-0074,2026-002-28,"P1 - Major Degradation","Upstream Provider Outage",Vector Engine API,9,106,NO,"Priya Mueller",https://wiki.helixforge.internal/postmortems/INC-2026-06-0074.md
INC-2026-06-0075,2026-002-03,"P0 - Critical Outage","Expired TLS Certificate",Expensify Sync,3,39,NO,"Zoe Novak",https://wiki.helixforge.internal/postmortems/INC-2026-06-0075.md
INC-2026-06-0076,2026-004-28,"P2 - Minor Component Issue","Expired TLS Certificate",Workday Single Sign-On,22,24,NO,"Hannah Vance",https://wiki.helixforge.internal/postmortems/INC-2026-06-0076.md
INC-2026-06-0077,2026-006-20,"P2 - Minor Component Issue","BGP Route Flapping",Vector Engine API,20,176,NO,"Beatriz Kovacs",https://wiki.helixforge.internal/postmortems/INC-2026-06-0077.md
INC-2026-06-0078,2026-003-06,"P1 - Major Degradation","Expired TLS Certificate",Workday Single Sign-On,15,115,NO,"Elena Takahashi",https://wiki.helixforge.internal/postmortems/INC-2026-06-0078.md
INC-2026-06-0079,2026-002-14,"P2 - Minor Component Issue","BGP Route Flapping",Workday Single Sign-On,19,227,NO,"Olivia Voss",https://wiki.helixforge.internal/postmortems/INC-2026-06-0079.md
INC-2026-06-0080,2026-003-02,"P1 - Major Degradation","Database Connection Pool Exhaustion",Workday Single Sign-On,8,33,NO,"Mei-Ling Dubois",https://wiki.helixforge.internal/postmortems/INC-2026-06-0080.md
INC-2026-06-0081,2026-004-03,"P1 - Major Degradation","Database Connection Pool Exhaustion",Vector Engine API,8,178,NO,"Mara Wong",https://wiki.helixforge.internal/postmortems/INC-2026-06-0081.md
INC-2026-06-0082,2026-002-01,"P0 - Critical Outage","Slurm GPU Out of Memory",Workday Single Sign-On,7,121,YES (Credit Issued),"Priya Santos",https://wiki.helixforge.internal/postmortems/INC-2026-06-0082.md
INC-2026-06-0083,2026-001-21,"P0 - Critical Outage","Upstream Provider Outage",Expensify Sync,17,93,YES (Credit Issued),"Soren Silva",https://wiki.helixforge.internal/postmortems/INC-2026-06-0083.md
INC-2026-06-0084,2026-003-21,"P1 - Major Degradation","Expired TLS Certificate",Search Reranker,4,79,NO,"Olivia Ivanov",https://wiki.helixforge.internal/postmortems/INC-2026-06-0084.md
