incident_id,incident_date,severity_level,primary_root_cause,impacted_service,time_to_detect_mins,time_to_resolve_mins,customer_sla_breached,incident_commander,postmortem_document_url
INC-2026-04-0012,2026-003-22,"P1 - Major Degradation","BGP Route Flapping",Expensify Sync,6,199,NO,"Yuki Lindqvist",https://wiki.helixforge.internal/postmortems/INC-2026-04-0012.md
INC-2026-04-0013,2026-003-08,"P0 - Critical Outage","Database Connection Pool Exhaustion",Search Reranker,23,222,YES (Credit Issued),"Aisha Joshi",https://wiki.helixforge.internal/postmortems/INC-2026-04-0013.md
INC-2026-04-0014,2026-004-02,"P2 - Minor Component Issue","Upstream Provider Outage",Vector Engine API,2,47,NO,"Kaito O'Connor",https://wiki.helixforge.internal/postmortems/INC-2026-04-0014.md
INC-2026-04-0015,2026-006-04,"P0 - Critical Outage","Expired TLS Certificate",Workday Single Sign-On,4,177,YES (Credit Issued),"Ananya Takahashi",https://wiki.helixforge.internal/postmortems/INC-2026-04-0015.md
INC-2026-04-0016,2026-003-02,"P2 - Minor Component Issue","Expired TLS Certificate",Expensify Sync,9,134,NO,"Dmitri Takahashi",https://wiki.helixforge.internal/postmortems/INC-2026-04-0016.md
INC-2026-04-0017,2026-006-25,"P2 - Minor Component Issue","Upstream Provider Outage",Vector Engine API,6,122,NO,"Soren Voss",https://wiki.helixforge.internal/postmortems/INC-2026-04-0017.md
INC-2026-04-0018,2026-004-25,"P2 - Minor Component Issue","Database Connection Pool Exhaustion",Vector Engine API,25,23,NO,"Mei-Ling Novak",https://wiki.helixforge.internal/postmortems/INC-2026-04-0018.md
INC-2026-04-0019,2026-001-11,"P2 - Minor Component Issue","Expired TLS Certificate",Vector Engine API,12,238,NO,"Soren Hale",https://wiki.helixforge.internal/postmortems/INC-2026-04-0019.md
INC-2026-04-0020,2026-005-04,"P1 - Major Degradation","BGP Route Flapping",Search Reranker,8,92,NO,"Devon Garcia",https://wiki.helixforge.internal/postmortems/INC-2026-04-0020.md
INC-2026-04-0021,2026-001-18,"P2 - Minor Component Issue","BGP Route Flapping",Vector Engine API,12,116,NO,"Mina Garcia",https://wiki.helixforge.internal/postmortems/INC-2026-04-0021.md
INC-2026-04-0022,2026-006-17,"P2 - Minor Component Issue","Upstream Provider Outage",Workday Single Sign-On,20,171,NO,"Priya Kovacs",https://wiki.helixforge.internal/postmortems/INC-2026-04-0022.md
INC-2026-04-0023,2026-002-04,"P0 - Critical Outage","BGP Route Flapping",Vector Engine API,15,199,YES (Credit Issued),"Viktor Zhao",https://wiki.helixforge.internal/postmortems/INC-2026-04-0023.md
INC-2026-04-0024,2026-003-14,"P0 - Critical Outage","Database Connection Pool Exhaustion",Vector Engine API,7,94,YES (Credit Issued),"Yuki Ivanov",https://wiki.helixforge.internal/postmortems/INC-2026-04-0024.md
INC-2026-04-0025,2026-004-25,"P1 - Major Degradation","Database Connection Pool Exhaustion",Vector Engine API,6,200,NO,"Fatima Zhao",https://wiki.helixforge.internal/postmortems/INC-2026-04-0025.md
INC-2026-04-0026,2026-005-28,"P0 - Critical Outage","Corrupted Vector Index Partition",Search Reranker,3,137,YES (Credit Issued),"Kaito Wong",https://wiki.helixforge.internal/postmortems/INC-2026-04-0026.md
INC-2026-04-0027,2026-005-27,"P2 - Minor Component Issue","Slurm GPU Out of Memory",Expensify Sync,21,39,NO,"Ethan Nguyen",https://wiki.helixforge.internal/postmortems/INC-2026-04-0027.md
INC-2026-04-0028,2026-001-28,"P2 - Minor Component Issue","Database Connection Pool Exhaustion",Vector Engine API,9,77,NO,"Aris Bhat",https://wiki.helixforge.internal/postmortems/INC-2026-04-0028.md
INC-2026-04-0029,2026-003-24,"P1 - Major Degradation","Slurm GPU Out of Memory",Workday Single Sign-On,23,110,NO,"Matteo Al-Mansoor",https://wiki.helixforge.internal/postmortems/INC-2026-04-0029.md
INC-2026-04-0030,2026-001-25,"P1 - Major Degradation","Corrupted Vector Index Partition",Expensify Sync,17,237,NO,"Soren Kovacs",https://wiki.helixforge.internal/postmortems/INC-2026-04-0030.md
INC-2026-04-0031,2026-001-07,"P0 - Critical Outage","Slurm GPU Out of Memory",Expensify Sync,3,97,YES (Credit Issued),"Carlos Tanaka",https://wiki.helixforge.internal/postmortems/INC-2026-04-0031.md
INC-2026-04-0032,2026-005-19,"P2 - Minor Component Issue","Corrupted Vector Index Partition",Expensify Sync,22,45,NO,"Hannah Johnson",https://wiki.helixforge.internal/postmortems/INC-2026-04-0032.md
INC-2026-04-0033,2026-003-02,"P2 - Minor Component Issue","Corrupted Vector Index Partition",Search Reranker,25,200,NO,"Zoe Lin",https://wiki.helixforge.internal/postmortems/INC-2026-04-0033.md
INC-2026-04-0034,2026-002-25,"P0 - Critical Outage","Database Connection Pool Exhaustion",Vector Engine API,17,57,NO,"Kaito Joshi",https://wiki.helixforge.internal/postmortems/INC-2026-04-0034.md
INC-2026-04-0035,2026-006-18,"P1 - Major Degradation","Corrupted Vector Index Partition",Expensify Sync,5,67,NO,"Viktor Voss",https://wiki.helixforge.internal/postmortems/INC-2026-04-0035.md
INC-2026-04-0036,2026-002-22,"P2 - Minor Component Issue","Slurm GPU Out of Memory",Expensify Sync,17,84,NO,"Zoe Takahashi",https://wiki.helixforge.internal/postmortems/INC-2026-04-0036.md
INC-2026-04-0037,2026-004-04,"P2 - Minor Component Issue","Upstream Provider Outage",Vector Engine API,24,102,NO,"Soren Lin",https://wiki.helixforge.internal/postmortems/INC-2026-04-0037.md
INC-2026-04-0038,2026-005-08,"P1 - Major Degradation","BGP Route Flapping",Search Reranker,13,89,NO,"Kaito Silva",https://wiki.helixforge.internal/postmortems/INC-2026-04-0038.md
INC-2026-04-0039,2026-002-22,"P2 - Minor Component Issue","Corrupted Vector Index Partition",Expensify Sync,20,159,NO,"Soren Voss",https://wiki.helixforge.internal/postmortems/INC-2026-04-0039.md
INC-2026-04-0040,2026-005-06,"P0 - Critical Outage","Corrupted Vector Index Partition",Workday Single Sign-On,13,117,YES (Credit Issued),"Ava Thorne",https://wiki.helixforge.internal/postmortems/INC-2026-04-0040.md
INC-2026-04-0041,2026-003-22,"P2 - Minor Component Issue","Corrupted Vector Index Partition",Search Reranker,16,131,NO,"Olivia Vance",https://wiki.helixforge.internal/postmortems/INC-2026-04-0041.md
INC-2026-04-0042,2026-002-14,"P2 - Minor Component Issue","Database Connection Pool Exhaustion",Vector Engine API,7,140,NO,"Tariq Smith",https://wiki.helixforge.internal/postmortems/INC-2026-04-0042.md
INC-2026-04-0043,2026-003-04,"P2 - Minor Component Issue","Database Connection Pool Exhaustion",Expensify Sync,12,182,NO,"Beatriz Silva",https://wiki.helixforge.internal/postmortems/INC-2026-04-0043.md
INC-2026-04-0044,2026-005-27,"P2 - Minor Component Issue","BGP Route Flapping",Search Reranker,6,151,NO,"Devon Nair",https://wiki.helixforge.internal/postmortems/INC-2026-04-0044.md
INC-2026-04-0045,2026-004-16,"P0 - Critical Outage","Upstream Provider Outage",Vector Engine API,15,53,NO,"Chloe Kim",https://wiki.helixforge.internal/postmortems/INC-2026-04-0045.md
INC-2026-04-0046,2026-001-05,"P2 - Minor Component Issue","Corrupted Vector Index Partition",Expensify Sync,10,136,NO,"Mina Lindqvist",https://wiki.helixforge.internal/postmortems/INC-2026-04-0046.md
INC-2026-04-0047,2026-003-22,"P0 - Critical Outage","Slurm GPU Out of Memory",Vector Engine API,22,92,YES (Credit Issued),"Carlos Wong",https://wiki.helixforge.internal/postmortems/INC-2026-04-0047.md
INC-2026-04-0048,2026-001-01,"P2 - Minor Component Issue","Database Connection Pool Exhaustion",Search Reranker,9,208,NO,"Liam Silva",https://wiki.helixforge.internal/postmortems/INC-2026-04-0048.md
INC-2026-04-0049,2026-005-14,"P2 - Minor Component Issue","Upstream Provider Outage",Workday Single Sign-On,16,239,NO,"Elena Joshi",https://wiki.helixforge.internal/postmortems/INC-2026-04-0049.md
INC-2026-04-0050,2026-004-14,"P2 - Minor Component Issue","Corrupted Vector Index Partition",Expensify Sync,17,143,NO,"Sophia Lindqvist",https://wiki.helixforge.internal/postmortems/INC-2026-04-0050.md
INC-2026-04-0051,2026-001-23,"P0 - Critical Outage","BGP Route Flapping",Vector Engine API,11,20,NO,"Ananya Smith",https://wiki.helixforge.internal/postmortems/INC-2026-04-0051.md
INC-2026-04-0052,2026-005-09,"P0 - Critical Outage","Upstream Provider Outage",Workday Single Sign-On,19,64,YES (Credit Issued),"Hannah Chen",https://wiki.helixforge.internal/postmortems/INC-2026-04-0052.md
INC-2026-04-0053,2026-001-21,"P2 - Minor Component Issue","Corrupted Vector Index Partition",Workday Single Sign-On,24,141,NO,"Fatima Kovacs",https://wiki.helixforge.internal/postmortems/INC-2026-04-0053.md
INC-2026-04-0054,2026-002-07,"P2 - Minor Component Issue","Slurm GPU Out of Memory",Search Reranker,6,103,NO,"Lucas Zhao",https://wiki.helixforge.internal/postmortems/INC-2026-04-0054.md
INC-2026-04-0055,2026-002-20,"P0 - Critical Outage","Database Connection Pool Exhaustion",Expensify Sync,6,112,YES (Credit Issued),"Matteo Santos",https://wiki.helixforge.internal/postmortems/INC-2026-04-0055.md
INC-2026-04-0056,2026-004-25,"P0 - Critical Outage","Corrupted Vector Index Partition",Workday Single Sign-On,10,112,YES (Credit Issued),"Lars Dubois",https://wiki.helixforge.internal/postmortems/INC-2026-04-0056.md
INC-2026-04-0057,2026-003-02,"P0 - Critical Outage","BGP Route Flapping",Expensify Sync,7,43,NO,"Sarah Tanaka",https://wiki.helixforge.internal/postmortems/INC-2026-04-0057.md
INC-2026-04-0058,2026-003-17,"P1 - Major Degradation","Corrupted Vector Index Partition",Vector Engine API,9,202,NO,"Raj Lin",https://wiki.helixforge.internal/postmortems/INC-2026-04-0058.md
INC-2026-04-0059,2026-005-08,"P2 - Minor Component Issue","Corrupted Vector Index Partition",Workday Single Sign-On,19,233,NO,"Soren Novak",https://wiki.helixforge.internal/postmortems/INC-2026-04-0059.md
INC-2026-04-0060,2026-003-06,"P0 - Critical Outage","Upstream Provider Outage",Expensify Sync,16,104,YES (Credit Issued),"Ananya Smith",https://wiki.helixforge.internal/postmortems/INC-2026-04-0060.md
INC-2026-04-0061,2026-003-22,"P2 - Minor Component Issue","Expired TLS Certificate",Expensify Sync,16,212,NO,"Beatriz Hale",https://wiki.helixforge.internal/postmortems/INC-2026-04-0061.md
INC-2026-04-0062,2026-004-19,"P2 - Minor Component Issue","Upstream Provider Outage",Search Reranker,23,170,NO,"Ethan O'Connor",https://wiki.helixforge.internal/postmortems/INC-2026-04-0062.md
INC-2026-04-0063,2026-003-08,"P0 - Critical Outage","Upstream Provider Outage",Vector Engine API,6,101,YES (Credit Issued),"Dmitri Mueller",https://wiki.helixforge.internal/postmortems/INC-2026-04-0063.md
INC-2026-04-0064,2026-001-28,"P1 - Major Degradation","Upstream Provider Outage",Workday Single Sign-On,20,94,NO,"Viktor Bhat",https://wiki.helixforge.internal/postmortems/INC-2026-04-0064.md
INC-2026-04-0065,2026-004-21,"P1 - Major Degradation","Expired TLS Certificate",Vector Engine API,18,214,NO,"Mei-Ling Moreau",https://wiki.helixforge.internal/postmortems/INC-2026-04-0065.md
INC-2026-04-0066,2026-004-07,"P2 - Minor Component Issue","Corrupted Vector Index Partition",Vector Engine API,9,166,NO,"Zoe Wong",https://wiki.helixforge.internal/postmortems/INC-2026-04-0066.md
INC-2026-04-0067,2026-006-10,"P2 - Minor Component Issue","Slurm GPU Out of Memory",Search Reranker,24,36,NO,"Liam Al-Mansoor",https://wiki.helixforge.internal/postmortems/INC-2026-04-0067.md
INC-2026-04-0068,2026-005-11,"P2 - Minor Component Issue","Corrupted Vector Index Partition",Search Reranker,9,181,NO,"Tariq Kovacs",https://wiki.helixforge.internal/postmortems/INC-2026-04-0068.md
INC-2026-04-0069,2026-001-03,"P2 - Minor Component Issue","Slurm GPU Out of Memory",Workday Single Sign-On,8,146,NO,"Matteo Zhao",https://wiki.helixforge.internal/postmortems/INC-2026-04-0069.md
INC-2026-04-0070,2026-004-05,"P1 - Major Degradation","Upstream Provider Outage",Search Reranker,18,220,NO,"Raj Joshi",https://wiki.helixforge.internal/postmortems/INC-2026-04-0070.md
INC-2026-04-0071,2026-003-10,"P2 - Minor Component Issue","Expired TLS Certificate",Workday Single Sign-On,23,138,NO,"Aris Al-Mansoor",https://wiki.helixforge.internal/postmortems/INC-2026-04-0071.md
INC-2026-04-0072,2026-004-18,"P2 - Minor Component Issue","Upstream Provider Outage",Search Reranker,6,25,NO,"Priya Takahashi",https://wiki.helixforge.internal/postmortems/INC-2026-04-0072.md
INC-2026-04-0073,2026-006-21,"P0 - Critical Outage","BGP Route Flapping",Vector Engine API,5,210,YES (Credit Issued),"Aisha Thorne",https://wiki.helixforge.internal/postmortems/INC-2026-04-0073.md
INC-2026-04-0074,2026-005-27,"P1 - Major Degradation","Upstream Provider Outage",Workday Single Sign-On,21,34,NO,"Hannah Thorne",https://wiki.helixforge.internal/postmortems/INC-2026-04-0074.md
INC-2026-04-0075,2026-003-03,"P1 - Major Degradation","Corrupted Vector Index Partition",Expensify Sync,20,107,NO,"Sarah Johnson",https://wiki.helixforge.internal/postmortems/INC-2026-04-0075.md
INC-2026-04-0076,2026-005-25,"P0 - Critical Outage","Expired TLS Certificate",Workday Single Sign-On,16,45,NO,"Mara Dubois",https://wiki.helixforge.internal/postmortems/INC-2026-04-0076.md
INC-2026-04-0077,2026-005-01,"P0 - Critical Outage","Upstream Provider Outage",Expensify Sync,22,110,YES (Credit Issued),"Soren Al-Mansoor",https://wiki.helixforge.internal/postmortems/INC-2026-04-0077.md
INC-2026-04-0078,2026-004-06,"P1 - Major Degradation","Database Connection Pool Exhaustion",Search Reranker,17,239,NO,"Chloe Joshi",https://wiki.helixforge.internal/postmortems/INC-2026-04-0078.md
INC-2026-04-0079,2026-006-23,"P2 - Minor Component Issue","Corrupted Vector Index Partition",Workday Single Sign-On,13,200,NO,"Sophia Wong",https://wiki.helixforge.internal/postmortems/INC-2026-04-0079.md
INC-2026-04-0080,2026-003-27,"P2 - Minor Component Issue","Database Connection Pool Exhaustion",Vector Engine API,13,49,NO,"Siddharth Voss",https://wiki.helixforge.internal/postmortems/INC-2026-04-0080.md
INC-2026-04-0081,2026-005-15,"P0 - Critical Outage","Upstream Provider Outage",Expensify Sync,4,66,YES (Credit Issued),"Lucas Novak",https://wiki.helixforge.internal/postmortems/INC-2026-04-0081.md
INC-2026-04-0082,2026-003-07,"P0 - Critical Outage","Slurm GPU Out of Memory",Search Reranker,15,138,YES (Credit Issued),"Chen Dubois",https://wiki.helixforge.internal/postmortems/INC-2026-04-0082.md
INC-2026-04-0083,2026-004-22,"P1 - Major Degradation","Corrupted Vector Index Partition",Workday Single Sign-On,8,84,NO,"Sophia Nguyen",https://wiki.helixforge.internal/postmortems/INC-2026-04-0083.md
INC-2026-04-0084,2026-003-18,"P1 - Major Degradation","Slurm GPU Out of Memory",Vector Engine API,8,190,NO,"Marcus Chen",https://wiki.helixforge.internal/postmortems/INC-2026-04-0084.md
