incident_id,incident_date,severity_level,primary_root_cause,impacted_service,time_to_detect_mins,time_to_resolve_mins,customer_sla_breached,incident_commander,postmortem_document_url,financial_penalty_usd
INC-2026-05-0011,2026-005-09,"P2 - Minor Component Issue","Upstream Provider Outage",Expensify Sync,11,217,NO,"Siddharth Silva",https://wiki.helixforge.internal/postmortems/INC-2026-05-0011.md,0
INC-2026-05-0012,2026-002-01,"P1 - Major Degradation","Expired TLS Certificate",Search Reranker,24,185,NO,"Chloe Lindqvist",https://wiki.helixforge.internal/postmortems/INC-2026-05-0012.md,0
INC-2026-05-0013,2026-004-07,"P1 - Major Degradation","BGP Route Flapping",Search Reranker,5,200,NO,"Gabriel Watanabe",https://wiki.helixforge.internal/postmortems/INC-2026-05-0013.md,0
INC-2026-05-0014,2026-004-26,"P0 - Critical Outage","Corrupted Vector Index Partition",Expensify Sync,8,55,NO,"Viktor Wong",https://wiki.helixforge.internal/postmortems/INC-2026-05-0014.md,0
INC-2026-05-0015,2026-006-03,"P1 - Major Degradation","Database Connection Pool Exhaustion",Search Reranker,13,112,NO,"Liam Zhao",https://wiki.helixforge.internal/postmortems/INC-2026-05-0015.md,0
INC-2026-05-0016,2026-003-18,"P2 - Minor Component Issue","Slurm GPU Out of Memory",Vector Engine API,5,158,NO,"Ethan Chen",https://wiki.helixforge.internal/postmortems/INC-2026-05-0016.md,0
INC-2026-05-0017,2026-005-03,"P0 - Critical Outage","BGP Route Flapping",Vector Engine API,7,116,YES (Credit Issued),"Carlos Nair",https://wiki.helixforge.internal/postmortems/INC-2026-05-0017.md,10853
INC-2026-05-0018,2026-006-28,"P0 - Critical Outage","Expired TLS Certificate",Vector Engine API,16,204,YES (Credit Issued),"Mina Takahashi",https://wiki.helixforge.internal/postmortems/INC-2026-05-0018.md,46763
INC-2026-05-0019,2026-005-08,"P1 - Major Degradation","BGP Route Flapping",Search Reranker,21,29,NO,"Yuki Chen",https://wiki.helixforge.internal/postmortems/INC-2026-05-0019.md,0
INC-2026-05-0020,2026-004-22,"P1 - Major Degradation","BGP Route Flapping",Workday Single Sign-On,7,227,NO,"Gabriel Hoffmann",https://wiki.helixforge.internal/postmortems/INC-2026-05-0020.md,0
INC-2026-05-0021,2026-001-07,"P1 - Major Degradation","Slurm GPU Out of Memory",Vector Engine API,23,115,NO,"Xavier Garcia",https://wiki.helixforge.internal/postmortems/INC-2026-05-0021.md,0
INC-2026-05-0022,2026-006-02,"P0 - Critical Outage","Slurm GPU Out of Memory",Expensify Sync,14,191,YES (Credit Issued),"Elena Zhao",https://wiki.helixforge.internal/postmortems/INC-2026-05-0022.md,23599
INC-2026-05-0023,2026-005-21,"P1 - Major Degradation","Slurm GPU Out of Memory",Search Reranker,6,103,NO,"Matteo Hoffmann",https://wiki.helixforge.internal/postmortems/INC-2026-05-0023.md,0
INC-2026-05-0024,2026-005-24,"P2 - Minor Component Issue","Database Connection Pool Exhaustion",Vector Engine API,11,239,NO,"Sophia Lin",https://wiki.helixforge.internal/postmortems/INC-2026-05-0024.md,0
INC-2026-05-0025,2026-003-11,"P0 - Critical Outage","Expired TLS Certificate",Search Reranker,8,81,YES (Credit Issued),"Olivia Thorne",https://wiki.helixforge.internal/postmortems/INC-2026-05-0025.md,24162
INC-2026-05-0026,2026-006-02,"P0 - Critical Outage","Expired TLS Certificate",Search Reranker,19,218,YES (Credit Issued),"Raj Garcia",https://wiki.helixforge.internal/postmortems/INC-2026-05-0026.md,18953
INC-2026-05-0027,2026-004-15,"P0 - Critical Outage","Database Connection Pool Exhaustion",Expensify Sync,15,45,NO,"Marcus Zhao",https://wiki.helixforge.internal/postmortems/INC-2026-05-0027.md,0
INC-2026-05-0028,2026-002-14,"P0 - Critical Outage","Slurm GPU Out of Memory",Workday Single Sign-On,12,119,YES (Credit Issued),"Sophia Joshi",https://wiki.helixforge.internal/postmortems/INC-2026-05-0028.md,46548
INC-2026-05-0029,2026-005-05,"P0 - Critical Outage","Slurm GPU Out of Memory",Expensify Sync,8,38,NO,"Xavier O'Connor",https://wiki.helixforge.internal/postmortems/INC-2026-05-0029.md,0
INC-2026-05-0030,2026-003-28,"P1 - Major Degradation","Upstream Provider Outage",Workday Single Sign-On,21,30,NO,"Dmitri Nguyen",https://wiki.helixforge.internal/postmortems/INC-2026-05-0030.md,0
INC-2026-05-0031,2026-003-13,"P0 - Critical Outage","Slurm GPU Out of Memory",Workday Single Sign-On,5,228,YES (Credit Issued),"Yuki Voss",https://wiki.helixforge.internal/postmortems/INC-2026-05-0031.md,16974
INC-2026-05-0032,2026-004-15,"P0 - Critical Outage","BGP Route Flapping",Workday Single Sign-On,21,120,YES (Credit Issued),"Chen O'Connor",https://wiki.helixforge.internal/postmortems/INC-2026-05-0032.md,12599
INC-2026-05-0033,2026-004-12,"P0 - Critical Outage","BGP Route Flapping",Search Reranker,8,114,YES (Credit Issued),"Hannah Wong",https://wiki.helixforge.internal/postmortems/INC-2026-05-0033.md,15461
INC-2026-05-0034,2026-003-25,"P0 - Critical Outage","Corrupted Vector Index Partition",Workday Single Sign-On,5,235,YES (Credit Issued),"Aisha Patel",https://wiki.helixforge.internal/postmortems/INC-2026-05-0034.md,15331
INC-2026-05-0035,2026-006-01,"P1 - Major Degradation","Slurm GPU Out of Memory",Search Reranker,12,210,NO,"Aris Nguyen",https://wiki.helixforge.internal/postmortems/INC-2026-05-0035.md,0
INC-2026-05-0036,2026-004-04,"P2 - Minor Component Issue","Database Connection Pool Exhaustion",Expensify Sync,20,181,NO,"Matteo Patel",https://wiki.helixforge.internal/postmortems/INC-2026-05-0036.md,0
INC-2026-05-0037,2026-002-20,"P0 - Critical Outage","BGP Route Flapping",Vector Engine API,16,134,YES (Credit Issued),"Xavier Bhat",https://wiki.helixforge.internal/postmortems/INC-2026-05-0037.md,43239
INC-2026-05-0038,2026-003-20,"P2 - Minor Component Issue","Expired TLS Certificate",Vector Engine API,23,177,NO,"Ethan Patel",https://wiki.helixforge.internal/postmortems/INC-2026-05-0038.md,0
INC-2026-05-0039,2026-001-25,"P1 - Major Degradation","Corrupted Vector Index Partition",Workday Single Sign-On,3,78,NO,"Xavier Santos",https://wiki.helixforge.internal/postmortems/INC-2026-05-0039.md,0
INC-2026-05-0040,2026-003-16,"P2 - Minor Component Issue","Corrupted Vector Index Partition",Search Reranker,15,90,NO,"Yuki Thorne",https://wiki.helixforge.internal/postmortems/INC-2026-05-0040.md,0
INC-2026-05-0041,2026-006-13,"P0 - Critical Outage","Slurm GPU Out of Memory",Vector Engine API,4,156,YES (Credit Issued),"Viktor Hale",https://wiki.helixforge.internal/postmortems/INC-2026-05-0041.md,32119
INC-2026-05-0042,2026-001-08,"P1 - Major Degradation","BGP Route Flapping",Vector Engine API,22,147,NO,"Xavier Moreau",https://wiki.helixforge.internal/postmortems/INC-2026-05-0042.md,0
INC-2026-05-0043,2026-001-28,"P0 - Critical Outage","Upstream Provider Outage",Expensify Sync,2,195,YES (Credit Issued),"Siddharth Novak",https://wiki.helixforge.internal/postmortems/INC-2026-05-0043.md,39615
INC-2026-05-0044,2026-001-08,"P1 - Major Degradation","Upstream Provider Outage",Workday Single Sign-On,2,28,NO,"Soren Johnson",https://wiki.helixforge.internal/postmortems/INC-2026-05-0044.md,0
INC-2026-05-0045,2026-004-07,"P1 - Major Degradation","Slurm GPU Out of Memory",Workday Single Sign-On,11,116,NO,"Noah Johnson",https://wiki.helixforge.internal/postmortems/INC-2026-05-0045.md,0
INC-2026-05-0046,2026-006-12,"P0 - Critical Outage","Upstream Provider Outage",Workday Single Sign-On,10,137,YES (Credit Issued),"Yuki Garcia",https://wiki.helixforge.internal/postmortems/INC-2026-05-0046.md,16136
INC-2026-05-0047,2026-005-18,"P2 - Minor Component Issue","Upstream Provider Outage",Search Reranker,25,159,NO,"Lucas Kovacs",https://wiki.helixforge.internal/postmortems/INC-2026-05-0047.md,0
INC-2026-05-0048,2026-005-08,"P0 - Critical Outage","BGP Route Flapping",Workday Single Sign-On,18,220,YES (Credit Issued),"Aisha Joshi",https://wiki.helixforge.internal/postmortems/INC-2026-05-0048.md,14018
INC-2026-05-0049,2026-004-03,"P2 - Minor Component Issue","Expired TLS Certificate",Search Reranker,13,143,NO,"Zoe Smith",https://wiki.helixforge.internal/postmortems/INC-2026-05-0049.md,0
INC-2026-05-0050,2026-001-15,"P0 - Critical Outage","Slurm GPU Out of Memory",Expensify Sync,24,26,NO,"Ava Zhao",https://wiki.helixforge.internal/postmortems/INC-2026-05-0050.md,0
INC-2026-05-0051,2026-002-18,"P1 - Major Degradation","Slurm GPU Out of Memory",Workday Single Sign-On,16,71,NO,"Liam Lin",https://wiki.helixforge.internal/postmortems/INC-2026-05-0051.md,0
INC-2026-05-0052,2026-001-04,"P1 - Major Degradation","Corrupted Vector Index Partition",Workday Single Sign-On,2,236,NO,"Ethan Joshi",https://wiki.helixforge.internal/postmortems/INC-2026-05-0052.md,0
INC-2026-05-0053,2026-005-03,"P2 - Minor Component Issue","Database Connection Pool Exhaustion",Workday Single Sign-On,4,108,NO,"Kaito Nair",https://wiki.helixforge.internal/postmortems/INC-2026-05-0053.md,0
INC-2026-05-0054,2026-005-17,"P2 - Minor Component Issue","Slurm GPU Out of Memory",Workday Single Sign-On,21,41,NO,"Mara Ivanov",https://wiki.helixforge.internal/postmortems/INC-2026-05-0054.md,0
INC-2026-05-0055,2026-005-07,"P1 - Major Degradation","Expired TLS Certificate",Vector Engine API,3,35,NO,"Carlos Nguyen",https://wiki.helixforge.internal/postmortems/INC-2026-05-0055.md,0
INC-2026-05-0056,2026-003-21,"P1 - Major Degradation","Database Connection Pool Exhaustion",Search Reranker,5,182,NO,"Beatriz Wong",https://wiki.helixforge.internal/postmortems/INC-2026-05-0056.md,0
INC-2026-05-0057,2026-006-05,"P0 - Critical Outage","BGP Route Flapping",Workday Single Sign-On,13,169,YES (Credit Issued),"Soren Lin",https://wiki.helixforge.internal/postmortems/INC-2026-05-0057.md,15563
INC-2026-05-0058,2026-003-24,"P2 - Minor Component Issue","Corrupted Vector Index Partition",Vector Engine API,8,119,NO,"Lars Dubois",https://wiki.helixforge.internal/postmortems/INC-2026-05-0058.md,0
INC-2026-05-0059,2026-002-27,"P1 - Major Degradation","Expired TLS Certificate",Search Reranker,19,35,NO,"Raj Santos",https://wiki.helixforge.internal/postmortems/INC-2026-05-0059.md,0
INC-2026-05-0060,2026-005-13,"P2 - Minor Component Issue","Expired TLS Certificate",Search Reranker,10,153,NO,"Marcus Hoffmann",https://wiki.helixforge.internal/postmortems/INC-2026-05-0060.md,0
INC-2026-05-0061,2026-006-28,"P0 - Critical Outage","Expired TLS Certificate",Workday Single Sign-On,5,75,YES (Credit Issued),"Marcus Thorne",https://wiki.helixforge.internal/postmortems/INC-2026-05-0061.md,31460
INC-2026-05-0062,2026-006-17,"P0 - Critical Outage","Slurm GPU Out of Memory",Vector Engine API,19,94,YES (Credit Issued),"Lucas Takahashi",https://wiki.helixforge.internal/postmortems/INC-2026-05-0062.md,22056
INC-2026-05-0063,2026-001-28,"P2 - Minor Component Issue","BGP Route Flapping",Search Reranker,5,197,NO,"Xavier Kim",https://wiki.helixforge.internal/postmortems/INC-2026-05-0063.md,0
INC-2026-05-0064,2026-005-17,"P2 - Minor Component Issue","Database Connection Pool Exhaustion",Vector Engine API,10,109,NO,"Dmitri Tanaka",https://wiki.helixforge.internal/postmortems/INC-2026-05-0064.md,0
INC-2026-05-0065,2026-001-21,"P2 - Minor Component Issue","Slurm GPU Out of Memory",Expensify Sync,9,73,NO,"Ethan Thorne",https://wiki.helixforge.internal/postmortems/INC-2026-05-0065.md,0
INC-2026-05-0066,2026-002-11,"P2 - Minor Component Issue","Upstream Provider Outage",Expensify Sync,22,227,NO,"Chloe Nguyen",https://wiki.helixforge.internal/postmortems/INC-2026-05-0066.md,0
INC-2026-05-0067,2026-002-23,"P1 - Major Degradation","Slurm GPU Out of Memory",Search Reranker,25,176,NO,"Ethan Kim",https://wiki.helixforge.internal/postmortems/INC-2026-05-0067.md,0
INC-2026-05-0068,2026-001-15,"P2 - Minor Component Issue","Upstream Provider Outage",Vector Engine API,2,104,NO,"Devon Takahashi",https://wiki.helixforge.internal/postmortems/INC-2026-05-0068.md,0
INC-2026-05-0069,2026-006-24,"P0 - Critical Outage","Upstream Provider Outage",Vector Engine API,14,180,YES (Credit Issued),"Siddharth Garcia",https://wiki.helixforge.internal/postmortems/INC-2026-05-0069.md,25995
INC-2026-05-0070,2026-002-13,"P2 - Minor Component Issue","Database Connection Pool Exhaustion",Expensify Sync,5,208,NO,"Priya Tanaka",https://wiki.helixforge.internal/postmortems/INC-2026-05-0070.md,0
INC-2026-05-0071,2026-002-17,"P1 - Major Degradation","BGP Route Flapping",Expensify Sync,8,93,NO,"Lucas Bhat",https://wiki.helixforge.internal/postmortems/INC-2026-05-0071.md,0
INC-2026-05-0072,2026-004-16,"P2 - Minor Component Issue","Slurm GPU Out of Memory",Vector Engine API,13,93,NO,"Mara Wong",https://wiki.helixforge.internal/postmortems/INC-2026-05-0072.md,0
INC-2026-05-0073,2026-004-04,"P1 - Major Degradation","Slurm GPU Out of Memory",Expensify Sync,12,124,NO,"Ava Hoffmann",https://wiki.helixforge.internal/postmortems/INC-2026-05-0073.md,0
INC-2026-05-0074,2026-005-25,"P0 - Critical Outage","BGP Route Flapping",Workday Single Sign-On,5,203,YES (Credit Issued),"Zoe Thorne",https://wiki.helixforge.internal/postmortems/INC-2026-05-0074.md,24876
INC-2026-05-0075,2026-001-01,"P1 - Major Degradation","Database Connection Pool Exhaustion",Expensify Sync,3,171,NO,"Viktor Lin",https://wiki.helixforge.internal/postmortems/INC-2026-05-0075.md,0
INC-2026-05-0076,2026-002-21,"P2 - Minor Component Issue","Expired TLS Certificate",Search Reranker,14,225,NO,"Noah Ivanov",https://wiki.helixforge.internal/postmortems/INC-2026-05-0076.md,0
INC-2026-05-0077,2026-004-04,"P2 - Minor Component Issue","BGP Route Flapping",Expensify Sync,16,171,NO,"Siddharth Joshi",https://wiki.helixforge.internal/postmortems/INC-2026-05-0077.md,0
INC-2026-05-0078,2026-004-10,"P0 - Critical Outage","Database Connection Pool Exhaustion",Workday Single Sign-On,18,202,YES (Credit Issued),"Soren Kovacs",https://wiki.helixforge.internal/postmortems/INC-2026-05-0078.md,12423
INC-2026-05-0079,2026-004-19,"P2 - Minor Component Issue","BGP Route Flapping",Expensify Sync,16,115,NO,"Fatima Garcia",https://wiki.helixforge.internal/postmortems/INC-2026-05-0079.md,0
INC-2026-05-0080,2026-002-25,"P0 - Critical Outage","Database Connection Pool Exhaustion",Search Reranker,24,197,YES (Credit Issued),"Zoe Hale",https://wiki.helixforge.internal/postmortems/INC-2026-05-0080.md,16904
INC-2026-05-0081,2026-002-08,"P0 - Critical Outage","Expired TLS Certificate",Vector Engine API,3,221,YES (Credit Issued),"Sarah Smith",https://wiki.helixforge.internal/postmortems/INC-2026-05-0081.md,20647
INC-2026-05-0082,2026-003-20,"P0 - Critical Outage","Slurm GPU Out of Memory",Vector Engine API,22,110,YES (Credit Issued),"Soren Patel",https://wiki.helixforge.internal/postmortems/INC-2026-05-0082.md,19113
INC-2026-05-0083,2026-001-28,"P0 - Critical Outage","BGP Route Flapping",Expensify Sync,4,46,NO,"Priya Chen",https://wiki.helixforge.internal/postmortems/INC-2026-05-0083.md,0
INC-2026-05-0084,2026-006-20,"P2 - Minor Component Issue","Expired TLS Certificate",Expensify Sync,3,119,NO,"Viktor Bhat",https://wiki.helixforge.internal/postmortems/INC-2026-05-0084.md,0
INC-2026-05-0085,2026-005-26,"P2 - Minor Component Issue","Database Connection Pool Exhaustion",Expensify Sync,14,233,NO,"Sarah Takahashi",https://wiki.helixforge.internal/postmortems/INC-2026-05-0085.md,0
INC-2026-05-0086,2026-001-01,"P2 - Minor Component Issue","Upstream Provider Outage",Vector Engine API,11,192,NO,"Fatima Johnson",https://wiki.helixforge.internal/postmortems/INC-2026-05-0086.md,0
INC-2026-05-0087,2026-006-26,"P2 - Minor Component Issue","Corrupted Vector Index Partition",Vector Engine API,14,157,NO,"Elena Patel",https://wiki.helixforge.internal/postmortems/INC-2026-05-0087.md,0
INC-2026-05-0088,2026-001-16,"P2 - Minor Component Issue","Slurm GPU Out of Memory",Expensify Sync,17,205,NO,"Devon Watanabe",https://wiki.helixforge.internal/postmortems/INC-2026-05-0088.md,0
INC-2026-05-0089,2026-003-20,"P2 - Minor Component Issue","Upstream Provider Outage",Expensify Sync,7,55,NO,"Chloe O'Connor",https://wiki.helixforge.internal/postmortems/INC-2026-05-0089.md,0
INC-2026-05-0090,2026-006-20,"P2 - Minor Component Issue","Expired TLS Certificate",Workday Single Sign-On,14,78,NO,"Dominic Smith",https://wiki.helixforge.internal/postmortems/INC-2026-05-0090.md,0
INC-2026-05-0091,2026-004-01,"P0 - Critical Outage","Corrupted Vector Index Partition",Workday Single Sign-On,20,93,YES (Credit Issued),"Aris Silva",https://wiki.helixforge.internal/postmortems/INC-2026-05-0091.md,31358
INC-2026-05-0092,2026-006-18,"P1 - Major Degradation","BGP Route Flapping",Vector Engine API,13,52,NO,"Isla Al-Mansoor",https://wiki.helixforge.internal/postmortems/INC-2026-05-0092.md,0
INC-2026-05-0093,2026-001-25,"P1 - Major Degradation","Database Connection Pool Exhaustion",Expensify Sync,11,48,NO,"Yuki Joshi",https://wiki.helixforge.internal/postmortems/INC-2026-05-0093.md,0
INC-2026-05-0094,2026-005-21,"P1 - Major Degradation","Database Connection Pool Exhaustion",Vector Engine API,10,97,NO,"Zoe Lindqvist",https://wiki.helixforge.internal/postmortems/INC-2026-05-0094.md,0
INC-2026-05-0095,2026-004-25,"P1 - Major Degradation","Upstream Provider Outage",Vector Engine API,19,180,NO,"Hannah Santos",https://wiki.helixforge.internal/postmortems/INC-2026-05-0095.md,0
INC-2026-05-0096,2026-002-21,"P1 - Major Degradation","Upstream Provider Outage",Search Reranker,8,101,NO,"Mara Al-Mansoor",https://wiki.helixforge.internal/postmortems/INC-2026-05-0096.md,0
INC-2026-05-0097,2026-001-28,"P0 - Critical Outage","Database Connection Pool Exhaustion",Workday Single Sign-On,10,151,YES (Credit Issued),"Sarah Lindqvist",https://wiki.helixforge.internal/postmortems/INC-2026-05-0097.md,19346
INC-2026-05-0098,2026-004-24,"P2 - Minor Component Issue","Expired TLS Certificate",Expensify Sync,7,26,NO,"Tariq Novak",https://wiki.helixforge.internal/postmortems/INC-2026-05-0098.md,0
INC-2026-05-0099,2026-006-14,"P0 - Critical Outage","Slurm GPU Out of Memory",Search Reranker,6,184,YES (Credit Issued),"Marcus Tanaka",https://wiki.helixforge.internal/postmortems/INC-2026-05-0099.md,27847
INC-2026-05-0100,2026-004-12,"P1 - Major Degradation","Database Connection Pool Exhaustion",Search Reranker,13,124,NO,"Gabriel Nair",https://wiki.helixforge.internal/postmortems/INC-2026-05-0100.md,0
INC-2026-05-0101,2026-002-25,"P2 - Minor Component Issue","Corrupted Vector Index Partition",Workday Single Sign-On,4,226,NO,"Isla Joshi",https://wiki.helixforge.internal/postmortems/INC-2026-05-0101.md,0
INC-2026-05-0102,2026-006-14,"P2 - Minor Component Issue","BGP Route Flapping",Search Reranker,18,164,NO,"Liam Hale",https://wiki.helixforge.internal/postmortems/INC-2026-05-0102.md,0
INC-2026-05-0103,2026-002-21,"P0 - Critical Outage","Expired TLS Certificate",Workday Single Sign-On,24,99,YES (Credit Issued),"Priya Kim",https://wiki.helixforge.internal/postmortems/INC-2026-05-0103.md,44906
INC-2026-05-0104,2026-005-19,"P0 - Critical Outage","Corrupted Vector Index Partition",Expensify Sync,22,205,YES (Credit Issued),"Devon Nair",https://wiki.helixforge.internal/postmortems/INC-2026-05-0104.md,26326
INC-2026-05-0105,2026-001-20,"P0 - Critical Outage","Expired TLS Certificate",Expensify Sync,16,162,YES (Credit Issued),"Ananya Garcia",https://wiki.helixforge.internal/postmortems/INC-2026-05-0105.md,30764
INC-2026-05-0106,2026-005-09,"P0 - Critical Outage","Database Connection Pool Exhaustion",Vector Engine API,18,183,YES (Credit Issued),"Raj Al-Mansoor",https://wiki.helixforge.internal/postmortems/INC-2026-05-0106.md,18265
INC-2026-05-0107,2026-001-15,"P1 - Major Degradation","Slurm GPU Out of Memory",Workday Single Sign-On,3,66,NO,"Fatima Silva",https://wiki.helixforge.internal/postmortems/INC-2026-05-0107.md,0
INC-2026-05-0108,2026-002-16,"P2 - Minor Component Issue","BGP Route Flapping",Vector Engine API,24,189,NO,"Raj Voss",https://wiki.helixforge.internal/postmortems/INC-2026-05-0108.md,0
INC-2026-05-0109,2026-006-20,"P1 - Major Degradation","Database Connection Pool Exhaustion",Workday Single Sign-On,9,64,NO,"Soren Bhat",https://wiki.helixforge.internal/postmortems/INC-2026-05-0109.md,0
INC-2026-05-0110,2026-003-27,"P1 - Major Degradation","Corrupted Vector Index Partition",Workday Single Sign-On,10,162,NO,"Aisha Chen",https://wiki.helixforge.internal/postmortems/INC-2026-05-0110.md,0
INC-2026-05-0111,2026-005-12,"P0 - Critical Outage","Database Connection Pool Exhaustion",Workday Single Sign-On,4,173,YES (Credit Issued),"Mei-Ling Johnson",https://wiki.helixforge.internal/postmortems/INC-2026-05-0111.md,38781
INC-2026-05-0112,2026-002-14,"P0 - Critical Outage","Corrupted Vector Index Partition",Expensify Sync,17,131,YES (Credit Issued),"Soren Garcia",https://wiki.helixforge.internal/postmortems/INC-2026-05-0112.md,49415
INC-2026-05-0113,2026-004-16,"P0 - Critical Outage","Expired TLS Certificate",Search Reranker,11,46,NO,"Isla Tanaka",https://wiki.helixforge.internal/postmortems/INC-2026-05-0113.md,0
INC-2026-05-0114,2026-005-24,"P1 - Major Degradation","Expired TLS Certificate",Vector Engine API,10,63,NO,"Mei-Ling Hoffmann",https://wiki.helixforge.internal/postmortems/INC-2026-05-0114.md,0
INC-2026-05-0115,2026-005-22,"P2 - Minor Component Issue","Database Connection Pool Exhaustion",Expensify Sync,20,154,NO,"Hannah Joshi",https://wiki.helixforge.internal/postmortems/INC-2026-05-0115.md,0
INC-2026-05-0116,2026-006-05,"P2 - Minor Component Issue","Slurm GPU Out of Memory",Vector Engine API,21,111,NO,"Chloe Smith",https://wiki.helixforge.internal/postmortems/INC-2026-05-0116.md,0
INC-2026-05-0117,2026-006-12,"P1 - Major Degradation","BGP Route Flapping",Workday Single Sign-On,15,63,NO,"Hannah Lindqvist",https://wiki.helixforge.internal/postmortems/INC-2026-05-0117.md,0
INC-2026-05-0118,2026-004-27,"P0 - Critical Outage","Expired TLS Certificate",Search Reranker,13,144,YES (Credit Issued),"Yuki Al-Mansoor",https://wiki.helixforge.internal/postmortems/INC-2026-05-0118.md,31775
INC-2026-05-0119,2026-003-03,"P1 - Major Degradation","Corrupted Vector Index Partition",Expensify Sync,21,170,NO,"Soren Ivanov",https://wiki.helixforge.internal/postmortems/INC-2026-05-0119.md,0
