secret_path,secret_type,target_service,rotation_frequency_days,last_rotated_timestamp,next_rotation_due,rotation_mechanism,rotation_lead,audit_status,vault_cluster_id
"kv/prod/service-030/credentials","TLS Private Key","microservice-runtime-v1",90,"2026-05-17T10:00:00Z","2026-06-14T10:00:00Z","Automated HashiCorp Vault Plugin","Sarah Mueller","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-031/credentials","AWS IAM Credentials","microservice-runtime-v2",30,"2026-05-04T10:00:00Z","2026-06-01T10:00:00Z","Automated HashiCorp Vault Plugin","Ava Kovacs","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-032/credentials","SSH CA Signing Key","microservice-runtime-v3",90,"2026-05-01T10:00:00Z","2026-06-15T10:00:00Z","Manual YubiKey Escrow Procedure","Siddharth Thorne","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-033/credentials","AWS IAM Credentials","microservice-runtime-v4",30,"2026-05-19T10:00:00Z","2026-06-03T10:00:00Z","Automated HashiCorp Vault Plugin","Olivia Voss","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-034/credentials","TLS Private Key","microservice-runtime-v5",90,"2026-05-23T10:00:00Z","2026-06-11T10:00:00Z","Automated HashiCorp Vault Plugin","Elena Ivanov","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-035/credentials","SSH CA Signing Key","microservice-runtime-v6",90,"2026-05-16T10:00:00Z","2026-06-20T10:00:00Z","Automated HashiCorp Vault Plugin","Chen Lindqvist","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-036/credentials","Database Master Password","microservice-runtime-v7",30,"2026-05-17T10:00:00Z","2026-06-22T10:00:00Z","Manual YubiKey Escrow Procedure","Dmitri Kovacs","ROTATION_SCHEDULED_DUE_SOON","VAULT-PROD-03"
"kv/prod/service-037/credentials","Database Master Password","microservice-runtime-v8",30,"2026-05-11T10:00:00Z","2026-06-24T10:00:00Z","Automated HashiCorp Vault Plugin","Kaito Moreau","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-038/credentials","SSH CA Signing Key","microservice-runtime-v9",90,"2026-05-04T10:00:00Z","2026-06-20T10:00:00Z","Automated HashiCorp Vault Plugin","Viktor Lindqvist","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-039/credentials","Database Master Password","microservice-runtime-v10",30,"2026-05-27T10:00:00Z","2026-06-07T10:00:00Z","Automated HashiCorp Vault Plugin","Elena Chen","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-040/credentials","Database Master Password","microservice-runtime-v1",30,"2026-05-28T10:00:00Z","2026-06-15T10:00:00Z","Manual YubiKey Escrow Procedure","Mina Moreau","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-041/credentials","Database Master Password","microservice-runtime-v2",30,"2026-05-15T10:00:00Z","2026-06-25T10:00:00Z","Automated HashiCorp Vault Plugin","Fatima Watanabe","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-042/credentials","AWS IAM Credentials","microservice-runtime-v3",30,"2026-05-17T10:00:00Z","2026-06-03T10:00:00Z","Automated HashiCorp Vault Plugin","Tariq Vance","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-043/credentials","SSH CA Signing Key","microservice-runtime-v4",90,"2026-05-27T10:00:00Z","2026-06-23T10:00:00Z","Automated HashiCorp Vault Plugin","Mara Tanaka","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-044/credentials","API Bearer Token","microservice-runtime-v5",90,"2026-05-18T10:00:00Z","2026-06-08T10:00:00Z","Manual YubiKey Escrow Procedure","Lucas Novak","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-045/credentials","SSH CA Signing Key","microservice-runtime-v6",90,"2026-05-06T10:00:00Z","2026-06-14T10:00:00Z","Automated HashiCorp Vault Plugin","Marcus Zhao","ROTATION_SCHEDULED_DUE_SOON","VAULT-PROD-03"
"kv/prod/service-046/credentials","TLS Private Key","microservice-runtime-v7",90,"2026-05-13T10:00:00Z","2026-06-09T10:00:00Z","Automated HashiCorp Vault Plugin","Fatima Bhat","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-047/credentials","API Bearer Token","microservice-runtime-v8",90,"2026-05-12T10:00:00Z","2026-06-08T10:00:00Z","Automated HashiCorp Vault Plugin","Marcus Voss","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-048/credentials","AWS IAM Credentials","microservice-runtime-v9",30,"2026-05-05T10:00:00Z","2026-06-14T10:00:00Z","Manual YubiKey Escrow Procedure","Yuki Joshi","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-049/credentials","TLS Private Key","microservice-runtime-v10",90,"2026-05-28T10:00:00Z","2026-06-06T10:00:00Z","Automated HashiCorp Vault Plugin","Beatriz Kovacs","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-050/credentials","API Bearer Token","microservice-runtime-v1",90,"2026-05-03T10:00:00Z","2026-06-09T10:00:00Z","Automated HashiCorp Vault Plugin","Mei-Ling Vance","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-051/credentials","Database Master Password","microservice-runtime-v2",30,"2026-05-12T10:00:00Z","2026-06-12T10:00:00Z","Automated HashiCorp Vault Plugin","Sophia Lin","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-052/credentials","API Bearer Token","microservice-runtime-v3",90,"2026-05-12T10:00:00Z","2026-06-07T10:00:00Z","Manual YubiKey Escrow Procedure","Gabriel Hoffmann","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-053/credentials","SSH CA Signing Key","microservice-runtime-v4",90,"2026-05-09T10:00:00Z","2026-06-09T10:00:00Z","Automated HashiCorp Vault Plugin","Lars O'Connor","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-054/credentials","AWS IAM Credentials","microservice-runtime-v5",30,"2026-05-03T10:00:00Z","2026-06-22T10:00:00Z","Automated HashiCorp Vault Plugin","Tariq Silva","ROTATION_SCHEDULED_DUE_SOON","VAULT-PROD-03"
"kv/prod/service-055/credentials","API Bearer Token","microservice-runtime-v6",90,"2026-05-17T10:00:00Z","2026-06-28T10:00:00Z","Automated HashiCorp Vault Plugin","Chloe Garcia","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-056/credentials","API Bearer Token","microservice-runtime-v7",90,"2026-05-26T10:00:00Z","2026-06-06T10:00:00Z","Manual YubiKey Escrow Procedure","Chen O'Connor","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-057/credentials","TLS Private Key","microservice-runtime-v8",90,"2026-05-28T10:00:00Z","2026-06-25T10:00:00Z","Automated HashiCorp Vault Plugin","Olivia Nguyen","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-058/credentials","Database Master Password","microservice-runtime-v9",30,"2026-05-09T10:00:00Z","2026-06-01T10:00:00Z","Automated HashiCorp Vault Plugin","Sophia Nguyen","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-059/credentials","AWS IAM Credentials","microservice-runtime-v10",30,"2026-05-17T10:00:00Z","2026-06-24T10:00:00Z","Automated HashiCorp Vault Plugin","Elena Vance","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-060/credentials","Database Master Password","microservice-runtime-v1",30,"2026-05-06T10:00:00Z","2026-06-24T10:00:00Z","Manual YubiKey Escrow Procedure","Elena Zhao","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-061/credentials","Database Master Password","microservice-runtime-v2",30,"2026-05-20T10:00:00Z","2026-06-15T10:00:00Z","Automated HashiCorp Vault Plugin","Sarah Kovacs","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-062/credentials","AWS IAM Credentials","microservice-runtime-v3",30,"2026-05-04T10:00:00Z","2026-06-02T10:00:00Z","Automated HashiCorp Vault Plugin","Noah Santos","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-063/credentials","SSH CA Signing Key","microservice-runtime-v4",90,"2026-05-10T10:00:00Z","2026-06-04T10:00:00Z","Automated HashiCorp Vault Plugin","Dmitri Johnson","ROTATION_SCHEDULED_DUE_SOON","VAULT-PROD-03"
"kv/prod/service-064/credentials","SSH CA Signing Key","microservice-runtime-v5",90,"2026-05-02T10:00:00Z","2026-06-02T10:00:00Z","Manual YubiKey Escrow Procedure","Dominic Wong","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-065/credentials","AWS IAM Credentials","microservice-runtime-v6",30,"2026-05-04T10:00:00Z","2026-06-15T10:00:00Z","Automated HashiCorp Vault Plugin","Beatriz O'Connor","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-066/credentials","SSH CA Signing Key","microservice-runtime-v7",90,"2026-05-21T10:00:00Z","2026-06-04T10:00:00Z","Automated HashiCorp Vault Plugin","Dominic Kim","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-067/credentials","SSH CA Signing Key","microservice-runtime-v8",90,"2026-05-07T10:00:00Z","2026-06-05T10:00:00Z","Automated HashiCorp Vault Plugin","Chloe Bhat","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-068/credentials","AWS IAM Credentials","microservice-runtime-v9",30,"2026-05-04T10:00:00Z","2026-06-01T10:00:00Z","Manual YubiKey Escrow Procedure","Elena Novak","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-069/credentials","API Bearer Token","microservice-runtime-v10",90,"2026-05-01T10:00:00Z","2026-06-22T10:00:00Z","Automated HashiCorp Vault Plugin","Ethan Zhao","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-070/credentials","SSH CA Signing Key","microservice-runtime-v1",90,"2026-05-03T10:00:00Z","2026-06-03T10:00:00Z","Automated HashiCorp Vault Plugin","Viktor Ivanov","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-071/credentials","TLS Private Key","microservice-runtime-v2",90,"2026-05-24T10:00:00Z","2026-06-15T10:00:00Z","Automated HashiCorp Vault Plugin","Ananya Joshi","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-072/credentials","API Bearer Token","microservice-runtime-v3",90,"2026-05-14T10:00:00Z","2026-06-05T10:00:00Z","Manual YubiKey Escrow Procedure","Gabriel Watanabe","ROTATION_SCHEDULED_DUE_SOON","VAULT-PROD-03"
"kv/prod/service-073/credentials","TLS Private Key","microservice-runtime-v4",90,"2026-05-24T10:00:00Z","2026-06-13T10:00:00Z","Automated HashiCorp Vault Plugin","Lars Mueller","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-074/credentials","AWS IAM Credentials","microservice-runtime-v5",30,"2026-05-23T10:00:00Z","2026-06-15T10:00:00Z","Automated HashiCorp Vault Plugin","Noah Smith","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-075/credentials","API Bearer Token","microservice-runtime-v6",90,"2026-05-27T10:00:00Z","2026-06-18T10:00:00Z","Automated HashiCorp Vault Plugin","Ethan Vance","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-076/credentials","SSH CA Signing Key","microservice-runtime-v7",90,"2026-05-23T10:00:00Z","2026-06-22T10:00:00Z","Manual YubiKey Escrow Procedure","Sophia Watanabe","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-077/credentials","SSH CA Signing Key","microservice-runtime-v8",90,"2026-05-26T10:00:00Z","2026-06-01T10:00:00Z","Automated HashiCorp Vault Plugin","Elena Moreau","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-078/credentials","SSH CA Signing Key","microservice-runtime-v9",90,"2026-05-21T10:00:00Z","2026-06-09T10:00:00Z","Automated HashiCorp Vault Plugin","Hannah Zhao","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-079/credentials","Database Master Password","microservice-runtime-v10",30,"2026-05-18T10:00:00Z","2026-06-16T10:00:00Z","Automated HashiCorp Vault Plugin","Carlos Wong","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-080/credentials","TLS Private Key","microservice-runtime-v1",90,"2026-05-22T10:00:00Z","2026-06-15T10:00:00Z","Manual YubiKey Escrow Procedure","Raj Nguyen","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-081/credentials","TLS Private Key","microservice-runtime-v2",90,"2026-05-17T10:00:00Z","2026-06-28T10:00:00Z","Automated HashiCorp Vault Plugin","Siddharth Nguyen","ROTATION_SCHEDULED_DUE_SOON","VAULT-PROD-03"
"kv/prod/service-082/credentials","AWS IAM Credentials","microservice-runtime-v3",30,"2026-05-03T10:00:00Z","2026-06-03T10:00:00Z","Automated HashiCorp Vault Plugin","Lucas Bhat","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-083/credentials","TLS Private Key","microservice-runtime-v4",90,"2026-05-24T10:00:00Z","2026-06-20T10:00:00Z","Automated HashiCorp Vault Plugin","Ethan Kovacs","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-084/credentials","SSH CA Signing Key","microservice-runtime-v5",90,"2026-05-13T10:00:00Z","2026-06-16T10:00:00Z","Manual YubiKey Escrow Procedure","Kaito Kovacs","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-085/credentials","API Bearer Token","microservice-runtime-v6",90,"2026-05-26T10:00:00Z","2026-06-10T10:00:00Z","Automated HashiCorp Vault Plugin","Dmitri Ivanov","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-086/credentials","AWS IAM Credentials","microservice-runtime-v7",30,"2026-05-07T10:00:00Z","2026-06-06T10:00:00Z","Automated HashiCorp Vault Plugin","Xavier Smith","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-087/credentials","TLS Private Key","microservice-runtime-v8",90,"2026-05-13T10:00:00Z","2026-06-03T10:00:00Z","Automated HashiCorp Vault Plugin","Ava Silva","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-088/credentials","SSH CA Signing Key","microservice-runtime-v9",90,"2026-05-06T10:00:00Z","2026-06-08T10:00:00Z","Manual YubiKey Escrow Procedure","Carlos Patel","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-089/credentials","SSH CA Signing Key","microservice-runtime-v10",90,"2026-05-23T10:00:00Z","2026-06-02T10:00:00Z","Automated HashiCorp Vault Plugin","Chloe Novak","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-090/credentials","AWS IAM Credentials","microservice-runtime-v1",30,"2026-05-28T10:00:00Z","2026-06-17T10:00:00Z","Automated HashiCorp Vault Plugin","Chloe Lindqvist","ROTATION_SCHEDULED_DUE_SOON","VAULT-PROD-03"
"kv/prod/service-091/credentials","API Bearer Token","microservice-runtime-v2",90,"2026-05-10T10:00:00Z","2026-06-02T10:00:00Z","Automated HashiCorp Vault Plugin","Beatriz Johnson","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-092/credentials","TLS Private Key","microservice-runtime-v3",90,"2026-05-27T10:00:00Z","2026-06-25T10:00:00Z","Manual YubiKey Escrow Procedure","Mei-Ling Nair","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-093/credentials","AWS IAM Credentials","microservice-runtime-v4",30,"2026-05-17T10:00:00Z","2026-06-16T10:00:00Z","Automated HashiCorp Vault Plugin","Isla Watanabe","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-094/credentials","AWS IAM Credentials","microservice-runtime-v5",30,"2026-05-26T10:00:00Z","2026-06-16T10:00:00Z","Automated HashiCorp Vault Plugin","Gabriel Hale","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-095/credentials","SSH CA Signing Key","microservice-runtime-v6",90,"2026-05-26T10:00:00Z","2026-06-09T10:00:00Z","Automated HashiCorp Vault Plugin","Ananya Thorne","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-096/credentials","TLS Private Key","microservice-runtime-v7",90,"2026-05-23T10:00:00Z","2026-06-06T10:00:00Z","Manual YubiKey Escrow Procedure","Matteo Joshi","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-097/credentials","AWS IAM Credentials","microservice-runtime-v8",30,"2026-05-03T10:00:00Z","2026-06-12T10:00:00Z","Automated HashiCorp Vault Plugin","Olivia Hoffmann","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-098/credentials","TLS Private Key","microservice-runtime-v9",90,"2026-05-23T10:00:00Z","2026-06-01T10:00:00Z","Automated HashiCorp Vault Plugin","Siddharth Mueller","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-099/credentials","API Bearer Token","microservice-runtime-v10",90,"2026-05-03T10:00:00Z","2026-06-28T10:00:00Z","Automated HashiCorp Vault Plugin","Carlos Kim","ROTATION_SCHEDULED_DUE_SOON","VAULT-PROD-03"
"kv/prod/service-100/credentials","AWS IAM Credentials","microservice-runtime-v1",30,"2026-05-10T10:00:00Z","2026-06-02T10:00:00Z","Manual YubiKey Escrow Procedure","Hannah Santos","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-101/credentials","Database Master Password","microservice-runtime-v2",30,"2026-05-27T10:00:00Z","2026-06-06T10:00:00Z","Automated HashiCorp Vault Plugin","Ava Lindqvist","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-102/credentials","Database Master Password","microservice-runtime-v3",30,"2026-05-21T10:00:00Z","2026-06-17T10:00:00Z","Automated HashiCorp Vault Plugin","Sarah Tanaka","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-103/credentials","SSH CA Signing Key","microservice-runtime-v4",90,"2026-05-20T10:00:00Z","2026-06-28T10:00:00Z","Automated HashiCorp Vault Plugin","Aris Lin","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-104/credentials","AWS IAM Credentials","microservice-runtime-v5",30,"2026-05-07T10:00:00Z","2026-06-01T10:00:00Z","Manual YubiKey Escrow Procedure","Beatriz Ivanov","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-105/credentials","API Bearer Token","microservice-runtime-v6",90,"2026-05-13T10:00:00Z","2026-06-03T10:00:00Z","Automated HashiCorp Vault Plugin","Gabriel Moreau","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-106/credentials","API Bearer Token","microservice-runtime-v7",90,"2026-05-04T10:00:00Z","2026-06-19T10:00:00Z","Automated HashiCorp Vault Plugin","Lars Novak","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-107/credentials","SSH CA Signing Key","microservice-runtime-v8",90,"2026-05-15T10:00:00Z","2026-06-17T10:00:00Z","Automated HashiCorp Vault Plugin","Marcus Lindqvist","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-108/credentials","Database Master Password","microservice-runtime-v9",30,"2026-05-13T10:00:00Z","2026-06-13T10:00:00Z","Manual YubiKey Escrow Procedure","Matteo Lin","ROTATION_SCHEDULED_DUE_SOON","VAULT-PROD-03"
"kv/prod/service-109/credentials","TLS Private Key","microservice-runtime-v10",90,"2026-05-03T10:00:00Z","2026-06-14T10:00:00Z","Automated HashiCorp Vault Plugin","Xavier Kim","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-110/credentials","API Bearer Token","microservice-runtime-v1",90,"2026-05-22T10:00:00Z","2026-06-23T10:00:00Z","Automated HashiCorp Vault Plugin","Chen Hoffmann","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-111/credentials","AWS IAM Credentials","microservice-runtime-v2",30,"2026-05-02T10:00:00Z","2026-06-15T10:00:00Z","Automated HashiCorp Vault Plugin","Lucas Garcia","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-112/credentials","AWS IAM Credentials","microservice-runtime-v3",30,"2026-05-26T10:00:00Z","2026-06-05T10:00:00Z","Manual YubiKey Escrow Procedure","Lars Vance","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-113/credentials","Database Master Password","microservice-runtime-v4",30,"2026-05-03T10:00:00Z","2026-06-26T10:00:00Z","Automated HashiCorp Vault Plugin","Fatima Smith","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-114/credentials","SSH CA Signing Key","microservice-runtime-v5",90,"2026-05-26T10:00:00Z","2026-06-15T10:00:00Z","Automated HashiCorp Vault Plugin","Devon Moreau","COMPLIANT_ROTATED","VAULT-PROD-03"
